legend,a (slope),b (intercept),n_points,unique_x_values,equation
active_att15_shots100,0.007534781780064797,7.96565656565657,2,2,y = 0.007535x + 7.97
active_att15_shots1000,0.06886887745378313,21.644949494949458,2,2,y = 0.068869x + 21.64
active_att15_shots3000,0.2118410520297313,30.44242424242418,2,2,y = 0.211841x + 30.44
active_att15_shots500,0.033419096626643795,14.938787878787892,2,2,y = 0.033419x + 14.94
active_att1_shots1000,0.019682984871664113,10.835000000000008,3,3,y = 0.019683x + 10.84
active_att1_shots3000,0.05939775109586431,13.571919191919193,2,2,y = 0.059398x + 13.57
active_att1_shots500,0.010898067879199958,9.432222222222212,3,3,y = 0.010898x + 9.43
active_att5_shots100,0.01689727463312369,7.684444444444444,2,2,y = 0.016897x + 7.68
active_att5_shots1000,0.06699161425576519,14.414444444444449,2,2,y = 0.066992x + 14.41
active_att5_shots3000,0.19224318658280917,14.801111111111126,2,2,y = 0.192243x + 14.80
active_att5_shots500,0.0349895178197065,14.835555555555558,2,2,y = 0.034990x + 14.84
thermal_attnone_shots100,0.058051730976259285,12.320555555555558,3,3,y = 0.058052x + 12.32
