legend,a (slope),b (intercept),n_points,equation
active_steps5300_shots1000,19.416428571428572,95.40357142857141,2,y = 19.4164x + 95.40
active_steps5300_shots3000,58.91571428571429,269.46428571428567,2,y = 58.9157x + 269.46
active_steps5300_shots500,8.92857142857143,58.13142857142856,2,y = 8.9286x + 58.13
active_steps530_shots1000,6.2425,18.707500000000003,2,y = 6.2425x + 18.71
active_steps530_shots500,4.18,12.480000000000004,2,y = 4.1800x + 12.48
active_steps53_shots1,0.0010142630744849833,8.332781299524562,3,y = 0.0010x + 8.33
active_steps53_shots100,-0.002803295057413897,8.451992011982027,4,y = -0.0028x + 8.45
active_steps53_shots1000,0.787413879181228,11.26797304043934,4,y = 0.7874x + 11.27
active_steps53_shots3000,2.034822765851224,13.963509735396894,4,y = 2.0348x + 13.96
active_steps53_shots500,0.4768297553669493,10.712920619071397,4,y = 0.4768x + 10.71
